EXP,Calculated,Error(%)
22.21,14.848,-33.14723098
165.3409091,125.54,-24.0720275
144.8863636,114.57,-20.92423527
33.03,27.986,-15.27096579
18.26,10.87,-40.47097481
150,112.32,-25.12
21.46,16.485,-23.18266542
18.61,13.976,-24.90059108
31.16134752,12.013,-61.44903556
19.57,11.561,-40.92488503
30.04,24.963,-16.90079893
53.69335816,46.018,-14.2948
15.23,11.377,-25.29875246
44.00993172,38.686,-12.09711425
15.46,11.326,-26.73997413
22.89,19.404,-15.2293578
16.13,12.341,-23.49039058
18.23,10.36,-43.17059792
96,65.311,-31.96770833
17.71,9.8593,-44.32919255
22.15,21.912,-1.074492099
33.23,23.625,-28.90460427
33.98,29.646,-12.75456151
14.41,10.512,-27.05065926
32.19,27.012,-16.08574091
28.85,24.137,-16.33622184
22.57,22.174,-1.754541427
17.45,11.901,-31.79942693
26.84,19.855,-26.02459016
31.65,25.812,-18.44549763
52.60942761,50.516,-3.979187201
67.04545455,23.428,-65.05654238
49.66329966,46.039,-7.297742367
23.2,19.698,-15.09482759
21.1,16.422,-22.17061611
27.06,22.357,-17.37989653
19.7,11.705,-40.58375635
28.25,22.843,-19.13982301
24.48,26.391,7.806372549
54.71380471,51.807,-5.312744609
49.87373737,47.444,-4.871777208
24.62,20.524,-16.63688058
138.0681818,106,-23.22633744
30.85,26.215,-15.02431118
31.25,26.547,-15.0496
24.21,23.932,-1.148285832
30.48,21.897,-28.15944882
30.59,22.184,-27.47956849
17.55,9.9125,-43.51851852
18.07,12.603,-30.25456558
47.55892256,46.072,-3.126484958
20.1,15.043,-25.15920398
57.95454545,20.602,-64.45145098
33.07,23.609,-28.60901119
22.31,18.834,-15.58045719
32.64,29.008,-11.12745098
46.2962963,45.529,-1.657360008
23.1,18.01,-22.03463203
19.88,11.83,-40.49295775
15.88,11.869,-25.2581864
103.9772727,87.651,-15.70177047
93.75,92.385,-1.456
122.7272727,98.819,-19.4808148
19.4,16.442,-15.24742268
20.69,13.961,-32.52295795
84,58.642,-30.18809524
27.71,24.887,-10.18765789
31.17,20.722,-33.51940969
25.42,19,-25.25570417
42.70639354,37.582,-11.99912499
14.29,10.508,-26.46606018
16.63,12.376,-25.58027661
19.21,11.597,-39.63040083
117.6136364,91.05,-22.58550727
28.6,21.284,-25.58041958
30.79,22.042,-28.41182202
75.42857143,65.311,-13.41344697
17.9,20.551,14.81005587
27.96,23.257,-16.8204578
29.26,24.521,-16.19617225
16.39,9.546,-41.75716901
26.44,22.174,-16.13464448
21.26,20.705,-2.610536218
87.42857143,74.795,-14.4501634
21.06,18.27,-13.24786325
56.81818182,20.687,-63.59088
42.71885522,43.573,1.999456155
14.82,10.487,-29.23751687
24.69,18.531,-24.94532199
31.69,22.546,-28.85452824
16.13,12.602,-21.87228766
26.57,19.719,-25.78471961
38.2371198,32.63,-14.66407467
19.22,14.356,-25.3069719
39.14,30.852,-21.17526827
20.9,15.61,-25.31100478
18.54,13.672,-26.25674218
19.5,14.338,-26.47179487
63.63636364,25.126,-60.51628572
20.19,15.154,-24.94304111
