EXP,calculated,error(%),Relative error(%),,Ave relative error(%),21.74079799
92.45,69.948,24.33964305,24.33964305,,Max relative error(%),65.8416
24.62,20.524,-16.63688058,16.63688058,,,
209.02,191.32,-8.468089178,8.468089178,,,
64.53,51.678,-19.91631799,19.91631799,,,
81.7,65.406,-19.94369645,19.94369645,,,
35.81626319,30.294,-15.41831196,15.41831196,,,
30.97,24.742,-20.10978366,20.10978366,,,
59.09090909,21.456,-63.68984615,63.68984615,,,
51.34680135,52.161,1.58568524,1.58568524,,,
184.71,161.49,-12.57105733,12.57105733,,,
18.63,19.294,3.564143854,3.564143854,,,
56.81818182,20.687,-63.59088,63.59088,,,
67.74,51.689,-23.69501033,23.69501033,,,
80,63.913,-20.10875,20.10875,,,
32.19,28.453,-11.6091954,11.6091954,,,
177.65,155.59,-12.4176752,12.4176752,,,
43.77104377,46.273,5.716007695,5.716007695,,,
67.04545455,23.428,-65.05654238,65.05654238,,,
42.70639354,38.63,-9.545159874,9.545159874,,,
16.39,9.546,-41.75716901,41.75716901,,,
20.39,13.33,-34.62481609,34.62481609,,,
123.4285714,104.1,-15.6597222,15.6597222,,,
15.8,8.4496,-46.52151899,46.52151899,,,
22.57,22.174,-1.754541427,1.754541427,,,
73.58,57.711,-21.5670019,21.5670019,,,
70.45454545,25.407,-63.93845161,63.93845161,,,
81.7,68.493,-16.16523868,16.16523868,,,
198.43,179.39,-9.595323288,9.595323288,,,
24.48,26.391,7.806372549,7.806372549,,,
168.24,147.98,-12.04232049,12.04232049,,,
63.63636364,22.283,-64.98385714,64.98385714,,,
33.5,28.671,-14.41492537,14.41492537,,,
96,65.311,-31.96770833,31.96770833,,,
16.92,10.301,-39.11938534,39.11938534,,,
28.6,22.019,-23.01048951,23.01048951,,,
63.4,49.705,-21.60094637,21.60094637,,,
27.06,23.517,-13.09312639,13.09312639,,,
63.63636364,23.428,-63.18457143,63.18457143,,,
16.23,9.6389,-40.61059766,40.61059766,,,
185.1,163.04,-11.91788223,11.91788223,,,
