ldr,pre,dia,miu,tem,mas
168,2.71,4,-2.721246399,316.68,92.45
5,1.5,1,-1.920818754,323.4,24.62
106,2.71,10.080625,-2.868275274,319.37,209.02
168,2.71,4,-2.721246399,336.88,64.53
168,2.71,4,-2.721246399,319.33,81.7
18.83,0.81,1.8225,-2,313.1185535,35.81626319
5,2.58,1,-1.920818754,323.2,30.97
3,0.11,4,-3.698970004,322.8642857,59.09090909
9.595015576,1.64,1.8225,-2,308.35,51.34680135
106,2.71,10.080625,-2.868275274,329.52,184.71
5,2.6,1,-1.920818754,396.75,18.63
3,0.11,4,-3.698970004,328.7418367,56.81818182
168,2.71,4,-2.721246399,336.76,67.74
168,2.71,4,-2.721246399,320.29,80
5,2.55,1,-1.920818754,317.05,32.19
106,2.71,10.080625,-2.868275274,333.55,177.65
9.595015576,1.13,1.8225,-2,308.35,43.77104377
1,0.11,4,-3.698970004,313.0683673,67.04545455
18.83,0.81,1.8225,-2,308.15,42.70639354
5,0.5,1,-1.920818754,354.53,16.39
5,0.57,1,-1.920818754,313.72,20.39
3,0.91,4,-3.698970004,308.4153061,123.4285714
5,0.44,1,-1.920818754,373.66,15.8
5,2.5,1,-1.920818754,352.19,22.57
168,2.71,4,-2.721246399,325.7,73.58
1,0.11,4,-3.698970004,308.1704082,70.45454545
168,2.71,4,-2.721246399,317.53,81.7
106,2.71,10.080625,-2.868275274,322.18,198.43
5,2.69,1,-1.920818754,334.06,24.48
106,2.71,10.080625,-2.868275274,340.71,168.24
1,0.11,4,-3.698970004,317.9663265,63.63636364
5,3.32,1,-1.920818754,323.5,33.5
1,0.91,4,-3.698970004,317.9663265,96
5,0.56,1,-1.920818754,349.19,16.92
15,2.59,1,-1.920818754,323.4,28.6
168,2.71,4,-2.721246399,342.89,63.4
5,2.51,1,-1.920818754,325.86,27.06
3,0.11,4,-3.698970004,313.0683673,63.63636364
5,0.53,1,-1.920818754,360.18,16.23
106,2.71,10.080625,-2.868275274,328.65,185.1
168,2.71,4,-2.721246399,327.02,72.08
168,2.71,4,-2.721246399,312,97.36
168,2.71,4,-2.721246399,318.61,83.58
168,2.71,4,-2.721246399,332.43,70.57
5,0.53,1,-1.920818754,331.83,18.26
168,2.71,4,-2.721246399,346.61,60
106,2.71,10.080625,-2.868275274,378.95,140.39
5.995154033,1.64,1.8225,-2,308.35,54.71380471
168,2.71,4,-2.721246399,314.4,90
1,0.11,4,-3.698970004,323.5989796,62.5
168,2.71,4,-2.721246399,312.24,94.53
5,0.53,1,-1.920818754,318.94,19.67
168,2.71,4,-2.721246399,333.87,65.66
1,0.91,4,-3.698970004,313.0683673,101.1428571
5,0.63,1,-1.920818754,309.46,22.35
3,3.31,1,-1.920818754,352.4,23.74
168,2.71,4,-2.721246399,315.84,86.6
5,2.55,1,-1.920818754,321.59,28.57
3,2.59,1,-1.920818754,322.5,30.78
106,2.71,10.080625,-2.868275274,317.44,216.86
168,2.71,4,-2.721246399,321.25,78.11
168,2.71,4,-2.721246399,315.84,91.89
8,1.58,1,-1.920818754,350.2,20.4
5.925925926,1.13,1.8225,-2,308.35,47.55892256
5,0.55,1,-1.920818754,339.35,18.1
5,0.59,1,-1.920818754,314.58,19.99
5,0.6,1,-1.920818754,312.8,20.69
168,2.71,4,-2.721246399,313.92,95.09
168,2.71,4,-2.721246399,312.96,92.45
18.83,0.81,1.8225,-2,318.2128931,32.83674736
5,2.6,1,-1.920818754,318.06,31.25
5,2.46,1,-1.920818754,338.64,24.21
106,2.71,10.080625,-2.868275274,344.03,165.1
168,2.71,4,-2.721246399,321.37,76.04
3,1.81,4,-3.698970004,323.1091837,105.6818182
106,2.71,10.080625,-2.868275274,338.09,172.94
8.348909657,1.13,1.8225,-2,308.35,44.82323232
168,2.71,4,-2.721246399,334.71,70.57
106,2.71,10.080625,-2.868275274,349.79,158.43
5,2.53,1,-1.920818754,369.43,21.26
7.102803738,1.13,1.8225,-2,308.35,46.2962963
168,2.71,4,-2.721246399,323.9,76.23
168,2.71,4,-2.721246399,329.3,73.77
3,1.81,4,-3.698970004,318.4561224,109.0909091
106,2.71,10.080625,-2.868275274,315.33,231.37
3,0.91,4,-3.698970004,313.5581633,94.28571429
168,2.71,4,-2.721246399,314.28,92.45
8,2.59,1,-1.920818754,323.3,29
5,2.52,1,-1.920818754,360.43,21.81
168,2.71,4,-2.721246399,324.74,75.47
10,2.59,1,-1.920818754,323.7,28.9
