ldr,pre,dia,miu,tem,mas
1.609437912,7.98,1,12,310.09,22.21
1.098612289,9.2,4,0.4,308.1704082,165.3409091
2.995732274,9.2,4,0.4,308.6602041,144.8863636
1.609437912,9.96,1,12,316,33.03
1.609437912,7.92,1,12,331.83,18.26
0,9.2,4,0.4,312.0887755,150
3.688879454,9.94,1,12,330.11,21.46
3.688879454,7.85,1,12,309.59,18.61
2.258633205,7.51,1.8225,13.5,308.35,31.16134752
1.609437912,7.9,1,12,320.49,19.57
1.609437912,9.94,1,12,319.93,30.04
2.935451343,9,1.8225,13.5,308.15,53.69335816
3.688879454,8.01,1,12,338.19,15.23
2.935451343,9,1.8225,13.5,313.1814465,44.00993172
3.688879454,7.98,1,12,334.21,15.46
1.609437912,7.93,1,12,308.09,22.89
3.688879454,7.98,1,12,321.72,16.13
1.609437912,7.88,1,12,333.31,18.23
0,8.3,4,0.4,317.9663265,96
1.609437912,7.85,1,12,336.74,17.71
1.609437912,9.92,1,12,355.91,22.15
3.688879454,9.97,1,12,311.63,33.23
1.609437912,9.94,1,12,313.76,33.98
3.688879454,8.02,1,12,359.9,14.41
1.609437912,9.94,1,12,317.05,32.19
1.609437912,9.99,1,12,322,28.85
1.609437912,9.89,1,12,352.19,22.57
3.688879454,7.9,1,12,317.62,17.45
3.688879454,10,1,12,319.09,26.84
1.609437912,9.97,1,12,318.9,31.65
2.12213095,9.03,1.8225,13.5,308.35,52.60942761
0,7.5,4,0.4,313.0683673,67.04545455
2.937657185,9.03,1.8225,13.5,308.35,49.66329966
1.609437912,8.01,1,12,308.56,23.2
1.609437912,8.84,1,12,353.8,21.1
1.609437912,9.9,1,12,325.86,27.06
1.609437912,7.9,1,12,319.2,19.7
1.609437912,9.93,1,12,324.64,28.25
1.609437912,10.08,1,12,334.06,24.48
1.790951482,9.03,1.8225,13.5,308.35,54.71380471
2.716895242,9.03,1.8225,13.5,308.35,49.87373737
1.609437912,8.89,1,12,323.4,24.62
1.098612289,9.2,4,0.4,313.3132653,138.0681818
1.609437912,9.94,1,12,318.08,30.85
1.609437912,9.99,1,12,318.06,31.25
1.609437912,9.85,1,12,338.64,24.21
3.688879454,10.09,1,12,316.04,30.48
3.688879454,9.98,1,12,314.67,30.59
1.609437912,7.89,1,12,344.71,17.55
3.688879454,7.9,1,12,313.37,18.07
1.779336949,8.52,1.8225,13.5,308.35,47.55892256
3.688879454,8.01,1,12,309.09,20.1
0,7.5,4,0.4,329.4765306,57.95454545
3.688879454,9.94,1,12,311.42,33.07
1.609437912,7.99,1,12,309.4,22.31
1.609437912,9.95,1,12,314.65,32.64
1.960489599,8.52,1.8225,13.5,308.35,46.2962963
3.688879454,9.94,1,12,323,23.1
1.609437912,7.89,1,12,317.22,19.88
3.688879454,7.95,1,12,323.08,15.88
0,9.2,4,0.4,327.7622449,103.9772727
2.995732274,9.2,4,0.4,323.5989796,93.75
2.995732274,9.2,4,0.4,313.3132653,122.7272727
2.708050201,8.84,1,12,353.5,19.4
1.609437912,7.99,1,12,312.8,20.69
1.098612289,8.3,4,0.4,328.9867347,84
1.609437912,9.98,1,12,320.44,27.71
3.688879454,10.03,1,12,317.71,31.17
3.688879454,10.02,1,12,321.1,25.42
2.935451343,8.2,1.8225,13.5,308.15,42.70639354
3.688879454,7.92,1,12,338.24,14.29
3.688879454,7.96,1,12,319.5,16.63
1.609437912,7.93,1,12,323.61,19.21
0,9.2,4,0.4,318.7010204,117.6136364
2.708050201,9.98,1,12,323.4,28.6
3.688879454,10.05,1,12,315.46,30.79
2.995732274,8.3,4,0.4,317.9663265,75.42857143
3.688879454,9.96,1,12,373.81,17.9
1.609437912,9.96,1,12,323.79,27.96
1.609437912,9.96,1,12,320.91,29.26
1.609437912,7.89,1,12,354.53,16.39
1.609437912,9.92,1,12,326.88,26.44
1.609437912,9.92,1,12,369.43,21.26
2.995732274,8.3,4,0.4,312.8234694,87.42857143
1.098612289,9.13,1,12,351.4,21.06
1.098612289,7.5,4,0.4,328.7418367,56.81818182
2.480628445,8.52,1.8225,13.5,308.35,42.71885522
3.688879454,7.91,1,12,336.7,14.82
3.688879454,9.99,1,12,322.01,24.69
3.688879454,9.97,1,12,313.89,31.69
3.688879454,8.04,1,12,325.35,16.13
3.688879454,10.03,1,12,319.61,26.57
2.935451343,8.5,1.8225,13.5,313.1814465,38.2371198
3.688879454,7.95,1,12,309.81,19.22
1.609437912,9.98,1,12,312.44,39.14
3.688879454,9.94,1,12,337.06,20.9
3.688879454,7.9,1,12,311.55,18.54
3.688879454,7.91,1,12,309.35,19.5
2.995732274,7.5,4,0.4,308.6602041,63.63636364
3.688879454,9.93,1,12,341.67,20.19
1.609437912,9.96,1,12,314.16,33.83
1.779336949,8.23,1.8225,13.5,308.35,43.77104377
1.609437912,7.94,1,12,315.84,19.71
3.688879454,10.05,1,12,317.96,29.48
3.688879454,10.03,1,12,318.61,28.08
3.688879454,10.01,1,12,335.42,20.83
3.688879454,10.01,1,12,320.56,25.9
1.609437912,9.99,1,12,396.75,18.63
1.609437912,7.83,1,12,373.66,15.8
3.688879454,7.97,1,12,309.23,20.02
1.609437912,7.96,1,12,313.72,20.39
2.935451343,7.5,1.8225,13.5,318.2128931,29.48479205
3.688879454,10.01,1,12,321.93,25.42
1.609437912,9.92,1,12,335.94,24.52
3.688879454,9.99,1,12,318.22,27.26
3.688879454,9.99,1,12,315.15,30.4
3.688879454,7.91,1,12,308.62,20.06
2.079441542,9.98,1,12,323.3,29
2.995732274,9.2,4,0.4,318.2112245,102.2727273
3.688879454,7.92,1,12,308.07,20.66
3.688879454,8.01,1,12,346.24,14.29
3.688879454,7.95,1,12,318.09,17.04
1.609437912,8.02,1,12,309.46,22.35
2.486405468,8.23,1.8225,13.5,308.35,40.82491582
1.609437912,9.91,1,12,315.3,33.2
1.098612289,7.5,4,0.4,313.0683673,63.63636364
1.098612289,10.7,1,12,352.4,23.74
3.688879454,8.01,1,12,368.74,13.53
3.688879454,9.92,1,12,328.39,21.82
3.688879454,8.05,1,12,358.76,14.59
0,7.5,4,0.4,317.9663265,63.63636364
3.688879454,9.96,1,12,314.31,31.15
1.098612289,8.3,4,0.4,308.4153061,123.4285714
3.688879454,7.96,1,12,327.38,15.9
3.688879454,7.89,1,12,308.92,19.94
2.935451343,8.5,1.8225,13.5,318.15,33.9540658
1.098612289,7.5,4,0.4,319.4357143,62.5
1.098612289,7.5,4,0.4,322.8642857,59.09090909
2.716895242,8.52,1.8225,13.5,308.35,42.08754209
1.609437912,7.88,1,12,341.5,17.99
3.688879454,7.89,1,12,330.97,15.42
3.688879454,7.95,1,12,310.84,18.74
3.688879454,7.99,1,12,310.45,19.31
2.935451343,8.2,1.8225,13.5,313.1185535,35.81626319
3.688879454,8.03,1,12,373.23,13.98
1.098612289,9.68,1,12,353.9,22.87
1.098612289,7.8,1,12,354.1,17.02
1.609437912,7.98,1,12,314.58,19.99
0,7.5,4,0.4,323.5989796,62.5
2.995732274,8.3,4,0.4,308.6602041,116.5714286
1.098612289,8.3,4,0.4,323.5989796,89.14285714
1.609437912,7.92,1,12,360.18,16.23
1.609437912,9.93,1,12,325.69,27.03
2.937657185,8.52,1.8225,13.5,308.35,41.24579125
3.688879454,9.95,1,12,327.74,22.22
1.950695201,9.03,1.8225,13.5,308.35,53.24074074
1.609437912,9.99,1,12,317.71,32.02
2.302585093,9.98,1,12,323.7,28.9
3.688879454,9.99,1,12,323.09,24.79
1.609437912,9.93,1,12,331.63,25.38
3.688879454,9.83,1,12,355.68,18.7
3.688879454,10.01,1,12,312.87,33.38
3.688879454,9.99,1,12,324.45,23.49
1.609437912,7.93,1,12,331.08,18.51
1.098612289,9.2,4,0.4,318.4561224,109.0909091
1.609437912,9.94,1,12,321.59,28.57
2.935451343,9,1.8225,13.5,318.2128931,38.05090006
3.688879454,10.02,1,12,320.04,26.25
1.609437912,7.96,1,12,310.82,22.27
3.688879454,9.96,1,12,312.5,33.27
2.079441542,8.97,1,12,350.2,20.4
1.609437912,7.91,1,12,327.47,18.74
3.688879454,9.85,1,12,310.4,33.39
3.688879454,7.93,1,12,318.68,16.78
3.688879454,7.95,1,12,315.16,17.82
3.688879454,10,1,12,325.59,22.97
1.609437912,7.95,1,12,349.19,16.92
1.098612289,8.3,4,0.4,318.2112245,90.85714286
3.688879454,9.97,1,12,332.81,21.16
2.935451343,7.5,1.8225,13.5,313.1814465,30.41589075
1.609437912,9.9,1,12,329.83,27.58
3.688879454,7.93,1,12,308.32,20.66
1.609437912,9.96,1,12,319.44,30.46
2.995732274,8.3,4,0.4,328.4969388,73.71428571
1.098612289,9.98,1,12,322.5,30.78
1.609437912,9.95,1,12,316.41,32.41
1.609437912,9.93,1,12,327.75,26.57
2.995732274,9.2,4,0.4,328.2520408,90.34090909
0,7.5,4,0.4,308.1704082,70.45454545
3.688879454,7.96,1,12,316.36,17.6
3.688879454,9.98,1,12,313.46,32.41
1.609437912,9.9,1,12,310.79,38.28
2.935451343,8.2,1.8225,13.5,318.2128931,32.83674736
0,9.97,1,12,323.15,31.61
3.688879454,9.91,1,12,349.58,19.38
3.688879454,9.99,1,12,312.32,33.67
2.261243753,9.03,1.8225,13.5,308.35,51.34680135
3.688879454,9.99,1,12,320.45,25.97
2.261243753,8.52,1.8225,13.5,308.35,43.77104377
3.688879454,8.01,1,12,322.99,16.34
2.12213095,8.52,1.8225,13.5,308.35,44.82323232
1.098612289,8.3,4,0.4,313.5581633,94.28571429
0,8.3,4,0.4,328.0071429,87.42857143
1.609437912,8.13,1,12,322.8,21.57
1.609437912,9.91,1,12,360.43,21.81
3.688879454,7.95,1,12,308.63,20.81
1.609437912,9.93,1,12,313.2,35.07
1.609437912,9.97,1,12,323.2,30.97
2.492149309,9.03,1.8225,13.5,308.35,50.50505051
3.688879454,9.91,1,12,362.45,18.53
1.098612289,9.2,4,0.4,323.1091837,105.6818182
2.995732274,7.5,4,0.4,328.2520408,51.13636364
1.609437912,10.71,1,12,323.5,33.5
2.937657185,8.23,1.8225,13.5,308.35,38.51010101
3.688879454,9.93,1,12,344.84,19.56
3.688879454,9.92,1,12,339.74,21.2
1.098612289,14.01,1,12,349.25,35.59
2.995732274,7.5,4,0.4,323.5989796,52.27272727
0,9.2,4,0.4,323.1091837,109.0909091
1.609437912,7.92,1,12,318.94,19.67
2.935451343,8.5,1.8225,13.5,308.15,45.49968963
3.688879454,9.9,1,12,366.26,17.92
1.609437912,7.94,1,12,339.35,18.1
3.688879454,10.01,1,12,322.57,25.2
0,8.3,4,0.4,313.0683673,101.1428571
3.688879454,7.94,1,12,319.36,16.64
1.098612289,9.2,4,0.4,328.4969388,103.9772727
0,8.3,4,0.4,323.3540816,90.85714286
3.688879454,9.95,1,12,327.05,22.32
5.123963979,10.1,4,3.8,316.2,89.06
4.663439094,10.1,10.080625,4.3,326.38,189.41
5.123963979,10.1,4,3.8,346.61,60
4.663439094,10.1,10.080625,4.3,363.76,148.24
5.123963979,10.1,4,3.8,323.9,76.23
5.123963979,10.1,4,3.8,336.88,64.53
5.123963979,10.1,4,3.8,334.71,70.57
5.123963979,10.1,4,3.8,315.84,91.89
5.123963979,10.1,4,3.8,334.95,66.04
4.663439094,10.1,10.080625,4.3,322.18,198.43
5.123963979,10.1,4,3.8,313.44,97.55
5.123963979,10.1,4,3.8,318.97,79.62
5.123963979,10.1,4,3.8,315.84,86.6
5.123963979,10.1,4,3.8,348.9,61.7
5.123963979,10.1,4,3.8,338.56,65.09
4.663439094,10.1,10.080625,4.3,319.37,209.02
4.663439094,10.1,10.080625,4.3,329.52,184.71
5.123963979,10.1,4,3.8,320.29,80
5.123963979,10.1,4,3.8,333.87,65.66
5.123963979,10.1,4,3.8,314.4,90
4.663439094,10.1,10.080625,4.3,317.44,216.86
5.123963979,10.1,4,3.8,331.11,69.25
4.663439094,10.1,10.080625,4.3,324.28,195.29
5.123963979,10.1,4,3.8,322.57,79.06
5.123963979,10.1,4,3.8,319.45,78.49
5.123963979,10.1,4,3.8,316.68,92.45
4.663439094,10.1,10.080625,4.3,378.95,140.39
5.123963979,10.1,4,3.8,332.43,70.57
4.663439094,10.1,10.080625,4.3,340.18,171.76
5.123963979,10.1,4,3.8,315.96,84.15
5.123963979,10.1,4,3.8,321.37,76.04
4.663439094,10.1,10.080625,4.3,344.03,165.1
5.123963979,10.1,4,3.8,324.74,75.47
5.123963979,10.1,4,3.8,329.78,70.57
5.123963979,10.1,4,3.8,329.9,69.25
5.123963979,10.1,4,3.8,318.97,85.09
5.123963979,10.1,4,3.8,314.28,92.45
5.123963979,10.1,4,3.8,342.89,63.4
5.123963979,10.1,4,3.8,323.78,76.98
5.123963979,10.1,4,3.8,317.04,83.58
4.663439094,10.1,10.080625,4.3,352.41,155.69
5.123963979,10.1,4,3.8,329.3,73.77
5.123963979,10.1,4,3.8,327.62,74.15
4.663439094,10.1,10.080625,4.3,340.71,168.24
5.123963979,10.1,4,3.8,342.16,62.26
5.123963979,10.1,4,3.8,317.16,87.36
5.123963979,10.1,4,3.8,334.59,68.3
5.123963979,10.1,4,3.8,313.56,93.96
5.123963979,10.1,4,3.8,312.24,94.53
5.123963979,10.1,4,3.8,315,87.92
5.123963979,10.1,4,3.8,319.57,83.77
5.123963979,10.1,4,3.8,348.29,63.21
5.123963979,10.1,4,3.8,322.45,75.28
5.123963979,10.1,4,3.8,311.64,100.94
5.123963979,10.1,4,3.8,320.41,83.21
4.663439094,10.1,10.080625,4.3,312.69,249.41
5.123963979,10.1,4,3.8,325.7,73.58
5.123963979,10.1,4,3.8,328.34,72.64
5.123963979,10.1,4,3.8,318.37,80.38
5.123963979,10.1,4,3.8,311.52,95.66
5.123963979,10.1,4,3.8,317.65,85.47
4.663439094,10.1,10.080625,4.3,333.55,177.65
5.123963979,10.1,4,3.8,318.61,83.58
4.663439094,10.1,10.080625,4.3,320.77,205.1
5.123963979,10.1,4,3.8,325.82,71.89
5.123963979,10.1,4,3.8,321.01,80.94
4.663439094,10.1,10.080625,4.3,333.72,176.86
5.123963979,10.1,4,3.8,312.72,97.92
5.123963979,10.1,4,3.8,312,97.36
5.123963979,10.1,4,3.8,319.33,81.7
5.123963979,10.1,4,3.8,313.56,91.89
5.123963979,10.1,4,3.8,336.76,67.74
5.123963979,10.1,4,3.8,317.53,81.7
4.663439094,10.1,10.080625,4.3,338.09,172.94
4.663439094,10.1,10.080625,4.3,328.65,185.1
4.663439094,10.1,10.080625,4.3,315.33,231.37
5.123963979,10.1,4,3.8,322.93,76.42
5.123963979,10.1,4,3.8,323.53,73.21
4.663439094,10.1,10.080625,4.3,348.92,160.39
5.123963979,10.1,4,3.8,313.92,95.09
5.123963979,10.1,4,3.8,321.25,78.11
5.123963979,10.1,4,3.8,344.57,64.15
5.123963979,10.1,4,3.8,312.72,96.04
5.123963979,10.1,4,3.8,326.54,75.28
4.663439094,10.1,10.080625,4.3,349.79,158.43
4.663439094,10.1,10.080625,4.3,325.15,190.98
5.123963979,10.1,4,3.8,327.02,72.08
5.123963979,10.1,4,3.8,338.68,64.15
5.123963979,10.1,4,3.8,318.25,86.42
5.123963979,10.1,4,3.8,315.72,90
5.123963979,10.1,4,3.8,327.62,70.19
5.123963979,10.1,4,3.8,312.96,92.45
4.663439094,10.1,10.080625,4.3,313.4,241.18
